Plant name,Scientific name,Family name,Plant Type,Retention,Light,Water Usage,Size,Color,Wildlife,Deer Resist,Maintenance,Soil Moisture,Drought Resist,Cold Resist,Heat Resist
"Three-flower melic, Tall melicgrass, Threeflower melicgrass, Melicgrass",Melica nitens,Poaceae (Grass Family),Grass/Grass-like,NA,Part  Shade,Medium,1-3  ft.,White,NA,NA,Cut  back  to  the  base  in  September  or  October  in  Texas.,Dry,NA,NA,NA
"Fragrant mimosa, Pink Mimosa",Mimosa borealis,Fabaceae (Pea Family),Shrub,Deciduous,"Sun ,  Part  Shade",Low,3-6  ft.,Pink,"Nectar-insects,  Browse,  Cover Conspicuous Flowers:  yesFragrant Flowers:  yesNectar Source:  yesDeer Resistant:  High ",High,NA,Dry,NA,yes,yes
"Wax myrtle , Southern wax myrtle, Southern bayberry, Eastern bayberry, Bayberry, Candleberry, Tallow shrub",Morella cerifera,Myricaceae (Bayberry Family),Shrub,Evergreen,"Sun ,  Part  Shade",High,"6-12  ft. ,  12-36  ft.",Green,Berries  eaten  by  many  species  of  birds  (Wasowski  and  Wasowski  1994),Moderate,NA,Moist,"Medium Heat Tolerant:  yesSoil Description:  Slightly  acidic,  moist,  deep  sands,  loams,  clays. Conditions Comments:  Requires  constant  moisture  to  get  established,  but  both  drought-  and  flood-tolerant  once  established.  If  temperature  goes  below  zero  degrees  F,  will  defoliate,  not  releafing  until  spring.  Tolerant  of  saline  conditions  and  urban  confinement  within  pavement.",NA,yes
"Lemon beebalm, Purple horsemint, Lemon mint, Plains horsemint, Lemon horsemint, Horsemint, Purple lemon mint",Monarda citriodora,Lamiaceae (Mint Family),Herb,NA,"Sun ,  Part  Shade",Low,1-3  ft.,"White ,  Pink ,  Purple",Bees  and  butterflies  are  attacted  to  this  plant,High,NA,Dry,NA,NA,NA
"Wild bergamot, Beebalm",Monarda fistulosa,Lamiaceae (Mint Family),Herb,NA,"Sun ,  Part  Shade",Medium,"1-3  ft. ,  3-6  ft.","White ,  Pink ,  Purple","Birds,  Hummingbirds,  Butterflies Use Food:  Leaves  boiled  for  tea,  used  for  seasoning,  chewed  raw  or  dried;  flowers  edible",High,NA,Dry,"Medium Heat Tolerant:  yesSoil Description:  Thrives  in  a  wide  range  of  soils,  from  acid  to  lime  to  rich  to  poor  to  sand  to  clay.  Less  tolerant  of  flooding,  but  can  take  it  in  the  winter. Conditions Comments:  Prevent  mildew  by  providing  good  drainage  and  air  circulation.",NA,yes
"Lindheimer's muhly, Lindheimer muhly, Big muhly, Blue muhly",Muhlenbergia lindheimeri,Poaceae (Grass Family),Grass/Grass-like,Semi-evergreen,Sun,Medium,3-6  ft.,White,Fair  to  good  forage  for  livestock  and  wildlife,High,"The  foliage  persists  through  the  winter,  though  most  of  it  will  be  dormant.  Not  necessary  to  cut  back  during  the  cold  months;  if  you  do,  it  may  be  slow  to  recover.  To  keep  tidy  looking,  break  off  old  flower  stalks  when  they  become  brittle  and  comb  the  plant  with  a  leaf  rake  to  remove  dead  leaves.",Dry,NA,yes,yes
Seep muhly,Muhlenbergia reverchonii,Poaceae (Grass Family),Grass/Grass-like,NA,Sun,Medium,1-3  ft.,"White ,  Pink ,  Brown",NA,High,NA,Dry,High,yes,yes
"Texas sacahuista, Texas beargrass, Basket grass, Sacahuista, Bunchgrass",Nolina texana,Liliaceae (Lily Family),Grass/Grass-like,NA,Part  Shade,Low,1-3  ft.,"White ,  Green","Nectar-insects,  Cover",High,NA,Dry,NA,yes,yes
"Bigfruit evening-primrose, Fluttermill, Missouri evening primrose",Oenothera macrocarpa ssp. macrocarpa,Onagraceae (Evening Primrose Family),Herb,NA,"Sun ,  Part  Shade",Low,1-3  ft.,Yellow,NA,NA,NA,Dry,High,NA,NA
"Pink evening primrose, Showy evening primrose, Mexican evening primrose, Showy primrose, Pink ladies, Buttercups, Pink buttercups",Oenothera speciosa,Onagraceae (Evening Primrose Family),Herb,Semi-evergreen,Sun,"Low ,  Medium",1-3  ft.,"White ,  Pink","Seed  capsules  attract  birds,  especially  finches,  and  various  mammals",High,NA,Dry,NA,NA,NA
"Retama, Paloverde, Mexican paloverde, Jerusalem thorn, Horsebean, Lluvia de Oro",Parkinsonia aculeata,Fabaceae (Pea Family),Tree,Deciduous,Sun,"Low ,  Medium",12-36  ft.,Yellow,"Nectar-insects,  Browse,  Seeds-granivorous  birds,  Seeds-Small  mammals,  Nesting  site,  Cover Use Food:  The  foliage  and  pods  have  been  used  as  emergency  forage  for  livestock,  as  well  as  by  wildlife",Moderate,"Prune  to  maintain  a  single  or  multiple  trunk  look.  To  prevent  drought  defoliation,  water  during  dry  spells.  To  prevent  aggressive  seeding  out,  cut  back  on  watering.",Dry,"Medium Heat Tolerant:  yesSoil Description:  Well-drained  soils  of  any  type:  sands,  loams,  clays,  caliche,  etc.  Does  well  in  disturbed  soils  and  poor  soils  and  tolerates  salinity  and  occasional  flooding. Conditions Comments:  Requires  full  sun  and  good  drainage  but  will  grow  in  any  soil  type.  Defoliates  during  severe  drought,  when  its  trunk  and  branches  will  become  an  even  brighter  green  as  chlorophyll  production  shifts  there  from  the  leaves.  Give  protection  from  north  winds  in  cold  regions,  as  it  can  be  damaged  by  frost.  In  moist  soils,  will  seed  out  so  much  that  it  can  become  difficult  to  control.",NA,yes
"Small palafox, Small palafoxia",Palafoxia callosa,Asteraceae (Aster Family),Herb,NA,Sun,Low,1-3  ft.,"White ,  Pink ,  Purple",NA,NA,NA,Dry,NA,NA,"yesConditions Comments:  Small  palafoxia  provides  an  airy  accent  to  the  fall  prairie  garden.    Best  grown  in  full  sun  and  dry,  gravelly  soils  to  avoid  rotting  plant.      Great  reseeding  annual  for  the  xeric  flower  garden."
"Cottonleaf passionflower, Corona de cristo",Passiflora foetida var. gossypiifolia,Passifloraceae (Passion-Flower Family),Vine,NA,"cimen(s)NPSOT 0514 Collected Jul 4, 1987  in Bexar County by Harry CliffeNPSOT 0767 Collected Sep 4, 1993 in Bexar County by Harry CliffeNPSOT 0471 Collected Jun 29, 1987 in Bexar County by Harry CliffeNPSOT 0999 Collected Oct. 12, 1994 in Bexar County by Harry Cliffe4 specimen(s) available in the Digital Herbari",NA,NA,"White ,  Purpl",NA,NA,NA,NA,NA,NA,NA
"Sevenleaf creeper, Seven-leaf Creeper",Parthenocissus heptaphylla,Vitaceae (Grape Family),Vine,Deciduous,"Sun ,  Part  Shade ,  Shade",NA,12-36  ft.,Green,NA,Moderate,NA,Moist,NA,NA,NA
"Purple passionflower, Purple passion vine, Maypop, Apricot vine",Passiflora incarnata,Passifloraceae (Passion-Flower Family),Vine,NA,"Sun ,  Part  Shade","Low ,  Medium",12-36  ft.,"Pink ,  Blue ,  Purple",Fruit-birds,Moderate,NA,Dry,NA,yes,yes
"Rock rose, Rose pavonia, Rose mallow, Pavonia",Pavonia lasiopetala,Malvaceae (Mallow Family),Shrub,NA,"Sun ,  Part  Shade",Low,3-6  ft.,"Pink ,  Yellow","Nectar-butterflies,  Nectar-moths,    Hummingbirds",Moderate,"Cut  back  the  shrub  each  year  to  encourage  bushy  growth.    It  may  tend  to  become  leggy  during  the  growing  season,  so  additional  pruning  may  be  necessary.    Water  intermittently  to  ensure  blooming.  Mildew  is  unavoidable  -  sometimes  more  sun  seems  to  make  it  go  away,  sometimes  not.",Dry,High,yes,NA
"Yellow passionflower, Yellow passion vine, Yellow passion-flower",Passiflora lutea,Passifloraceae (Passion-Flower Family),Herb,NA,Part  Shade,Low,12-36  ft.,"Yellow ,  Green","Nectar-insects,  Nectar-Butterflies,  Fruit-small  mammals,  Fruit-birds",High,NA,Moist,NA,NA,NA
Virginia creeper,Parthenocissus quinquefolia,Vitaceae (Grape Family),Vine,Deciduous,"Sun ,  Part  Shade ,  Shade",Low,12-36  ft.,"White ,  Green","Fruit-birds,  through  the  winter,  inc",Moderate,NA,Moist,NA,yes,yes
"Bird Wing Passionflower, Birdwing passionflower, Slender-lobe Passionflower, Spread Lobe Passionflower",Passiflora tenuiloba,Passifloraceae (Passion-Flower Family),Vine,Deciduous,Part  Shade,Low,3-6  ft.,Green,NA,Minimal,NA,Dry,NA,NA,NA
"Switchgrass, Wand panic grass",Panicum virgatum,Poaceae (Grass Family),Grass/Grass-like,NA,"Sun ,  Part  Shade",Medium,3-6  ft.,"Green ,  Brown",Fair  Grazing;  Seeds  eaten  by  ground-feeding  songbirds  and  game  birds;  Provides  cover  and  nesting  material,High,NA,Dry,NA,NA,NA
"Rock penstemon, Rock beardtongue, Cut-leaf penstemon, Cut-leaf beardtongue, Baccharis-leaf penstemon, Baccharis-leaf beardtongue",Penstemon baccharifolius,Scrophulariaceae (Figwort Family),Shrub,NA,"Sun ,  Part  Shade",Low,1-3  ft.,Red,NA,Minimal,NA,Dry,NA,NA,NA
"Prairie penstemon, Prairie beardtongue, Foxglove penstemon, Foxglove beardtongue, False foxglove, Large-flowered penstemon, Large-flowered beardtongue, Cobaea penstemon, Cobaea beardtongue, Wild foxglove",Penstemon cobaea,Scrophulariaceae (Figwort Family),Herb,NA,"Sun ,  Part  Shade",Medium,1-3  ft.,"White ,  Pink",This  penstemon  attracts  a  variety  of  moths,Minimal,NA,Dry,NA,NA,NA
"Hill Country penstemon, Hill Country beardtongue, Scarlet penstemon, Scarlet beardtongue, Heller's penstemon, Heller's beardtongue",Penstemon triflorus,Scrophulariaceae (Figwort Family),Herb,NA,Sun,Low,1-3  ft.,Red,NA,Minimal,NA,Dry,NA,NA,NA
"Blue curls, Caterpillars, Fiddleneck",Phacelia congesta,Hydrophyllaceae (Waterleaf Family),Herb,NA,"Sun ,  Part  Shade",Medium,1-3  ft.,"Blue ,  Purple","Pollen-insects,  Flowers-Bees,  Nectar-  bees,  Nectar-  butterflies Attracts:  Butterflies Deer Resistant:  High ",High,NA,Dry,NA,NA,NA
"Annual phlox, Phlox, Drummond phlox",Phlox drummondii,Polemoniaceae (Phlox Family),Herb,NA,"Sun ,  Part  Shade",Low,0-1  ft.,"White ,  Red ,  Pink ,  Purple",NA,No,"Provide  fall,  winter,  and  spring  watering  if  the  seasonal  rains  are  sparse.    The  plant  dies  back  after  going  to  seed,  so  it  is  suggested  you  plant  with  summer  and/or  fall-blooming  wildflowers.  As  with  all  annuals,  it  is  essential  that  phlox  is  allowed  to  reseed  for  an  abundant  display  the  following  year.",Dry,NA,NA,NA
"Beautiful false dragon-head, Showy false dragonhead",Physostegia pulchella,Lamiaceae (Mint Family),Herb,NA,Part  Shade,Medium,1-3  ft.,"Red ,  Purple","Nectar-Bees,  Nectar-insects Conspicuous Flowers:  yes",NA,NA,Moist,NA,NA,NA
"Mexican pistachio, Texas pistachio, American pistachio, Copal pistachio, Wild pistachio, Lentisco",Pistacia mexicana,Anacardiaceae (Sumac Family),Tree,NA,Sun,NA,12-36  ft.,White,Fruits  attract  birds,High,NA,Dry,NA,NA,NA
"American sycamore, Eastern sycamore, American plane tree, Plane tree, Buttonwood, Buttonball tree",Platanus occidentalis,Platanaceae (Plane-tree Family),Tree,Deciduous,"Sun ,  Part  Shade ,  Shade",High,36-72  ft.,"Red ,  Yellow ,  Green ,  Brown",NA,High,NA,Moist,NA,yes,NA
"Honey mesquite, Glandular mesquite, Algarroba",Prosopis glandulosa,Fabaceae (Pea Family),Tree,Deciduous,Sun,Low,12-36  ft.,Yellow,An  excellent  bee  tree,Moderate,NA,Dry,NA,yes,yes
"Mexican plum, Bigtree plum, Inch plum",Prunus mexicana,Rosaceae (Rose Family),Tree,Deciduous,"Sun ,  Part  Shade",Low,12-36  ft.,"White ,  Pink",Plums  attract  birds,No,NA,Dry,NA,yes,NA
"Texas red oak, Buckley oak, Texas oak, Spanish oak, Spotted Oak, Rock Oak",Quercus buckleyi,Fagaceae (Beech Family),Tree,Deciduous,"Sun ,  Part  Shade",Low,36-72  ft.,Red,"Produces  large  numbers  of  acorns,  which  are  valuable  as  food  for  wildlife",No,NA,Dry,NA,yes,yes
"Escarpment live oak, Plateau live oak, Hill country live oak, Texas live oak, Scrub live oak, Plateau oak, Encino molino, Tesmoli",Quercus fusiformis,Fagaceae (Beech Family),Tree,Semi-evergreen,"Sun ,  Part  Shade",Low,"12-36  ft. ,  36-72  ft.",Yellow,It  provides  cover  and  nesting  sites  for  birds  and  small  mammals,NA,NA,Dry,High,yes,yes
"Lacey oak, Texas blue oak, Canyon oak, Smoky oak,  Rock oak",Quercus laceyi,Fagaceae (Beech Family),Tree,Deciduous,Part  Shade,NA,36-72  ft.,Yellow,"Provides  food  and  cover  for  deer,  small  mammals,  and  birds",No,NA,Dry,NA,NA,NA
"Bur oak, Burr oak, Savannah oak, Overcup oak, Prairie oak, Mossy-cup oak, Mossy-overcup oak, Blue oak",Quercus macrocarpa,Fagaceae (Beech Family),Tree,Deciduous,"Sun ,  Part  Shade ,  Shade",Medium,"36-72  ft. ,  72-100  ft.","Yellow ,  Green ,  Brown","Attracts  songbirds,  ground  birds  and  mammals",No,NA,Dry,NA,yes,NA
"Chinkapin oak, Chinquapin oak, Chestnut oak, Yellow chestnut oak, Rock chestnut oak, Yellow oak, Rock oak",Quercus muehlenbergii,Fagaceae (Beech Family),Tree,Deciduous,"Sun ,  Part  Shade",Medium,"36-72  ft. ,  72-100  ft. ,  More  than  100  ft.","Yellow ,  Green ,  Brown",Hummingbirds Use Food:  Acorns  (nuts)  are  edible  after  tannins  are  leached  or  boiled  out,No,NA,Dry,NA,NA,NA
"Shumard oak, Shumard's oak, Shumard red oak, Southern red oak, Swamp red oak, Spotted oak",Quercus shumardii,Fagaceae (Beech Family),Tree,Deciduous,"Sun ,  Part  Shade",Medium,72-100  ft.,"White ,  Green","Fruit-birds,  Fruit-mammals,  Nesting  site,  Cover,  Substrate-insectivorous  birds",No,NA,Dry,NA,yes,NA
"Vasey oak, Sandpaper oak, Scrub oak, Shin oak",Quercus vaseyana,Fagaceae (Beech Family),Tree,Evergreen,Part  Shade,NA,12-36  ft.,"Yellow ,  Brown",NA,No,NA,Dry,NA,yes,"yesConditions Comments:  Vasey  oak  is  incredibly  drought  tolerant.  Stress,  however,  can  cause  it  to  grow  only  into  a  small  tree.  The  leaves  are  fragrant  when  crumpled  in  your  hands.  Deer,  squirrels,  wild  turkeys  and  other  wildlife  feed  on  the  acorns.    It  can  also  be  more  thicket-like  in  habit.  Leaves  are  typically  bright  glossy  green."
"Mexican hat, Red-spike Mexican hat, Upright prairie coneflower, Prairie coneflower, Long-headed coneflower, Thimbleflower",Ratibida columnifera,Asteraceae (Aster Family),Herb,Deciduous,Sun,Medium,1-3  ft.,"Orange ,  Yellow ,  Brown","Nectar-Bees,  Nectar-Butterflies,  Nectar-insects,  Seeds-Granivorous  birds,  Deer  will  eat  this  flower Use Food:  Beverage  tea  from  leaves",High,NA,Dry,"High Soil Description:  Various  well-drained,  usually  calcareous  soils.  Also  Limestone-based,  Caliche  type,  Clay,  Clay  Loam,  Medium  Loam,  Sandy  Loam,  Sandy. Conditions Comments:  This  is  a  drought  tolerant  plant  that  withstands  competition.    Plants  with  rich,  brown-purple  ray  flowers  are  form  pulcherima.  Mexican  Hat  is  a  fast  growing  wildflower  that  is  not  fussy  about  soils  and  is  easy  to  grow  from  seed.    Showy  flowers  bloom  over  a  long  season.  Foliage  has  a  strong  odor  that  repels  deer.  CAUTION:  it  grows  aggressively  and  may  push  out  other  weaker  species.",NA,NA
"Fragrant sumac, Aromatic sumac, Lemon sumac, Polecat bush",Rhus aromatica,Anacardiaceae (Sumac Family),Shrub,Deciduous,"Sun ,  Part  Shade ,  Shade",Low,6-12  ft.,Yellow,The  berries  are  winter  food,High,NA,Dry,NA,yes,NA
Smooth sumac,Rhus glabra,Anacardiaceae (Sumac Family),Shrub,Deciduous,"Sun ,  Part  Shade ,  Shade",Low,6-12  ft.,"White ,  Yellow ,  Green ,  Brown","Consumed  by  birds  of  many  kinds  and  small  mammals,  mainly  in  winter",NA,NA,Dry,NA,yes,NA
"Prairie flameleaf sumac, Flameleaf sumac, Prairie sumac, Lance-leaf sumac, Lance-leaved sumac, Texas sumac, Tree sumac, Limestone sumac, Prairie shining sumac",Rhus lanceolata,Anacardiaceae (Sumac Family),Tree,Deciduous,Sun,"Low ,  Medium",12-36  ft.,"White ,  Yellow ,  Green","Birds,  especially  bobwhites,  grouse,  and  pheasants,  consume  quantities  of  the  fruit  in  winter,  and  deer  browse  the  foliage",Moderate,NA,Dry,High,yes,yes
"Evergreen sumac, Tobacco sumac, Lambrisco, Lentrisco",Rhus virens,Anacardiaceae (Sumac Family),Shrub,Evergreen,"Sun ,  Part  Shade",Low,6-12  ft.,"White ,  Yellow",Birds  and  other  animals  feed  on  the  fuzzy  red  fruit,Moderate,NA,Dry,High,yes,NA
"Black-eyed Susan, Common black-eyed Susan, Brown-eyed Susan",Rudbeckia hirta,Asteraceae (Aster Family),Herb,NA,Sun,Medium,1-3  ft.,Yellow,"Nectar-Bees,  Nectar-Butterflies,  Nectar-insects,  Seeds-Granivorous  birds Use Medicinal:  Amerindians  used  root  tea  for  worms,  colds;  external  wash  for  sores,  snakebites,  swelling;  root  juice  for  earaches",High,NA,Dry,"High Soil Description:  Moist  to  dry,  well-drained  soils.  Juglones  tolerant Conditions Comments:  The  cheerful  blossoms  of  the  Black-eyed  Susans  liven  up  bouquets.  This  annuals  may  bloom  longer  with  some  afternoon  shade.  Birds  enjoy  the  ripe  seeds.  Black-eyed  Susan  can  become  aggressive  if  given  too  perfect  an  environment  and  not  enough  competition.",NA,NA
"Scarlet Sage, Tropical Sage, Blood sage, Red Sage, Indian Fire",Salvia coccinea,Lamiaceae (Mint Family),Herb,NA,"Sun ,  Part  Shade ,  Shade",Medium,1-3  ft.,"White ,  Red ,  Pink","Nectar-Hummingbirds,  Nectar-Bees,  Nectar-insects Conspicuous Flowers:  yesFragrant Flowers:  yesAttracts:  Butterflies ,  Hummingbirds Nectar Source:  yesDeer Resistant:  High ",High,NA,Dry,NA,NA,NA
"Engelmann's sage, Engelmann's salvia",Salvia engelmannii,Lamiaceae (Mint Family),Herb,NA,"Sun ,  Part  Shade",Low,"0-1  ft. ,  1-3  ft.","Blue ,  Purple",NA,High,NA,Dry,NA,NA,NA
"Mealy blue sage, Mealy sage, Mealycup sage",Salvia farinacea,Lamiaceae (Mint Family),Herb,NA,Sun,Low,1-3  ft.,Blue,"Nectar-Hummingbirds,  Nectar-Bees Conspicuous Flowers:  yesFragrant Flowers:  yesFragrant Foliage:  yesAttracts:  Butterflies ,  Hummingbirds Nectar Source:  yesDeer Resistant:  High ",High,NA,Moist,NA,NA,NA
"Autumn sage, Cherry sage, Gregg salvia",Salvia greggii,Lamiaceae (Mint Family),Shrub,Evergreen,Sun,Low,"1-3  ft. ,  3-6  ft.","White ,  Red ,  Pink ,  Orange ,  Purple",Flowers  attract  bees  and  hummingbirds,High,"Trim  or  pinch  tips  continuously  for  nonstop  blooming.  In  early  spring,  you  may  wish  to  prune  it  a  third  to  halfway  back  to  produce  thicker,  more  compact  foliage  and  a  shorter  flowering  plant.  Pruning  may  delay  flowering  for  several  weeks,  but  it  is  important  if  you  want  to  prevent  leggy  plants.  On  the  other  hand,  if  you  want  to  encourage  the  plant  to  assume  its  maximum  natural  shape,  however  tall,  only  pick-prune.",Dry,High,yes,yes
"Mountain sage, Royal sage",Salvia regla,Lamiaceae (Mint Family),Shrub,Deciduous,"Part  Shade ,  Shade",Low,3-6  ft.,Red,"Nectar-hummingbirds Conspicuous Flowers:  yesAttracts:  Butterflies ,  Hummingbirds Nectar Source:  yesDeer Resistant:  Minimal ",Minimal,"After  an  extended  period  of  flowering,  you  may  wish  to  prune  it  halfway  back  to  produce  thicker,  more  compact  foliage.    Cut  it  back  each  winter  to  encourage  bushy  growth.  Once  established,  it  should  not  be  fertilized.",Dry,NA,yes,NA
Cedar sage,Salvia roemeriana,Lamiaceae (Mint Family),Herb,NA,Part  Shade,Low,1-3  ft.,Red,"Flowers  attract  hummingbirds  and  butterflies Use Food:  As  with  other  red-flowered  Salvias,  its  flowers  are  both  edible  and  sweet  and  can  make  an  attractive  garnish",High,"Make  sure  large  fallen  leaves  are  kept  cleared  away  from  areas  you  want  it  to  grow,  as  seedlings  cant  emerge  otherwise.  Remove  spent  seed  spikes  and  cut  back  dormant  foliage,  if  necessary.",Dry,NA,NA,yes
"Western soapberry, Soapberry, Wild china tree, Wild chinaberry, Indian soap plant, Jaboncillo",Sapindus saponaria var. drummondii,Sapindaceae (Soapberry Family),Tree,Deciduous,"Sun ,  Part  Shade",Low,36-72  ft.,White,Birds  eat  fruit,High,NA,Dry,High,yes,NA
"Little bluestem, Popotillo azul",Schizachyrium scoparium,Poaceae (Grass Family),Grass/Grass-like,NA,"Sun ,  Part  Shade",Low,3-6  ft.,"White ,  Green ,  Brown","Graze,  Cover,  Nesting  material,  Seeds-Small  mammals,  Seeds-granivorous  birds",High,NA,Dry,"High Soil Description:  Well-drained  soil.  Sandy,  Sandy  Loam,  Medium  Loam,  Clay  Loam,  Clay,  Limestone-based Conditions Comments:  Little  bluestem  is  wonderful  planted  en  masse.  The  visual  dynamics  it  provides  range  from  blue-green  in  late  summer  to  golden  with  cotton-tufted  seedheads  in  winter.    It  readily  reseeds  so  little  bluestem  is  not  recommended  for  small  gardens.  Little  bluestem  is  tolerant  of  a  wide  range  of  soils  but  will  not  tolerate  wetlands  or  sub-irrigated  sites.",NA,NA
"Lindheimer's senna, Velvet leaf senna, Velvetleaf senna, Velvet-leaf wild sensitive-plant, Puppy-dog ears",Senna lindheimeriana,Fabaceae (Pea Family),Shrub,Deciduous,"Sun ,  Part  Shade",Low,3-6  ft.,Yellow,Seeds  provide  an  important  source  of  food  for  birds,Moderate,NA,Dry,NA,NA,NA
"Twoleaf senna, Two leaved senna",Senna roemeriana,Fabaceae (Pea Family),Shrub,NA,Part  Shade,Low,1-3  ft.,Yellow,Seeds  provide  an  important  source  of  food  for  birds,High,NA,Dry,NA,yes,yes
"Giant goldenrod,  Smooth goldenrod, Tall goldenrod, Late goldenrod,  Early goldenrod",Solidago gigantea,Asteraceae (Aster Family),Herb,NA,Part  Shade CaCO3 Tolerance:  Mediu,Medium,NA,Yello,NA,NA,NA,NA,NA,NA,NA
Julia's goldenrod,Solidago juliae,Asteraceae (Aster Family),Herb,NA,ficial Insects Special Value to Native Bees  Special Value to Honey Bees  Supports Conservation Biological Control This information was provided by the Pollinator Program at The Xerces Society for Invertebrate Conservatio,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA
"Gray goldenrod, Prairie goldenrod, Oldfield goldenrod, Grayleaf goldenrod, Gray-leaved goldenrod, Dyersweed goldenrod, Dwarf goldenrod, Field goldenrod",Solidago nemoralis,Asteraceae (Aster Family),Herb,Deciduous,"Sun ,  Part  Shade ,  Shade",Medium,1-3  ft.,Yellow,Prairie  goldenrod  attracts  butterflies,Moderate,NA,Dry,NA,NA,NA
"Indiangrass, Yellow indiangrass",Sorghastrum nutans,Poaceae (Grass Family),Grass/Grass-like,NA,"Sun ,  Part  Shade ,  Shade",Medium,3-6  ft.,Yellow,"Seeds-Small  mammals,  Seeds-granivorous  birds,  Nesting  material Conspicuous Flowers:  yesInteresting Foliage:  yesAttracts:  Butterflies Larval Host:  Pepper-and-Salt  Skipper  butterfly",High,NA,Dry,"High Soil Description:  Moist,  rich  soils.  Calcareous,  Sandy  Sandy  Loam,  Medium  Loam,  Clay  Loam,  Clay,  Limestone-based Conditions Comments:  Along  with  little  bluestem,  big  bluestem  and  switchgrass,  Indian  grass  is  an  important  species  in  the  tallgrass  prairie.  The  bright  yellow  flowers  contrast  attractively  with  the  blue-gray  foliage.  The  grass  stays  low  most  of  the  year  and  then  gets  tall  before  blooming  in  early  autumn.  Like  little  bluestem,  Indian  grass  is  best  planted  en  masse  or  in  a  wildflower  meadow.",NA,NA
"Downy ragged goldenrod, Downy goldenrod",Solidago petiolaris,Asteraceae (Aster Family),Herb,NA,ficial Insects Special Value to Native Bees  Special Value to Honey Bees  Supports Conservation Biological Control This information was provided by the Pollinator Program at The Xerces Society for Invertebrate Conservatio,NA,3-6  ft.,Yellow,NA,NA,NA,NA,NA,NA,NA
Western rough goldenrod,Solidago radula,Asteraceae (Aster Family),Herb,NA,ficial Insects Special Value to Native Bees  Special Value to Honey Bees  Supports Conservation Biological Control This information was provided by the Pollinator Program at The Xerces Society for Invertebrate Conservatio,NA,NA,Yellow,NA,NA,NA,NA,NA,NA,NA
"Texas mountain laurel, Mountain laurel, Mescal bean, Mescal bean sophora, Frijolillo, Frijolito",Sophora secundiflora,Fabaceae (Pea Family),Shrub,Evergreen,"Sun ,  Part  Shade","Low ,  Medium",12-36  ft.,"Blue ,  Purple",Blooms  attract  insect  pollinators,High,Prune  to  avoid  a  dense  shrubby  appearance.,Dry,High,yes,yes
"Composite dropseed, Tall dropseed",Sporobolus compositus var. compositus,Poaceae (Grass Family),NA,NA,ficial Insects Provides Nesting Materials/Structure for Native Bees This information was provided by the Pollinator Program at The Xerces Society for Invertebrate Conservatio,NA,NA,"utionUSA: AL ,  AR ,  AZ ,  CO ,  CT ,  DE ,  GA ,  IA ,  ID ,  IL ,  IN ,  KS ,  KY ,  LA ,  MA ,  MD ,  ME ,  MI ,  MN ,  MO ,  MS ,  MT ,  NC ,  ND ,  NE ,  NJ ,  NM ,  NY ,  OH ,  OK ,  OR ,  PA ,  RI ,  SD ,  TN ,  TX ,  UT ,  VA ,  VT ,  WA ,  WI ,  WV ,  WY Canada: NB Native Distribution: VT  to  e.  WA,  s.  to  LA  &  AZ Native Habitat:  Prairie,  Plains,  Meadows,  Pastures,  Savannahs,  Open  woodland",NA,NA,NA,NA,NA,NA,NA
"Eve's necklace, Eve's necklacepod, Texas sophora, Pink sophora, Necklace tree",Styphnolobium affine,Fabaceae (Pea Family),Tree,Deciduous,Part  Shade,Low,12-36  ft.,"White ,  Pink",Flowers  attact  bees,Moderate,NA,Dry,NA,NA,NA
"Bald cypress, Baldcypress, Common bald cypress, Southern bald cypress, Deciduous cypress, Southern cypress, Swamp cypress, Red cypress, White cypress, Yellow cypress, Gulf cypress, Tidewater red cypress",Taxodium distichum,Cupressaceae (Cypress Family),Tree,Deciduous,"Sun ,  Part  Shade",Medium,36-72  ft.,Purple,"Cover,  Nesting  site,  Substrate-insectivorous  birds,  Seeds-granivorous  birds,  Seeds-Small  mammals Interesting Foliage:  yesAttracts:  Birds Deer Resistant:  Moderate ",Moderate,NA,Moist,NA,yes,NA
"Four-nerve daisy, Hymenoxys, Stemmy four-nerve daisy, Bitterweed",Tetraneuris scaposa var. scaposa,Asteraceae (Aster Family),Herb,Evergreen,Sun,Low,0-1  ft.,Yellow,NA,Moderate,NA,Dry,NA,NA,NA
"Stiff greenthread, Showy Navajo tea, Greenthread",Thelesperma filifolium var. filifolium,Asteraceae (Aster Family),Herb,Deciduous,Sun,Low,1-3  ft.,Yellow,"Nectar-Bees,  Nectar-Butterflies,  Nectar-insects,  Seeds-Granivorous  birds",Minimal,NA,Dry,NA,NA,NA
"Eastern gamagrass, Fakahatchee grass",Tripsacum dactyloides,Poaceae (Grass Family),Grass/Grass-like,Evergreen,Part  Shade,High,3-6  ft.,Brown,"Deer  eat  the  hard,  yellow  seeds",Moderate,NA,Moist,NA,NA,NA
"Plateau spiderwort, Edward's spiderwort",Tradescantia edwardsiana,Commelinaceae (Spiderwort Family),Herb,NA,Part  Shade Conditions Comments:  These  spring  jewels  are  best  planted  in  an  informal  or  natural  landscape.  Lovely  mixed  with  other  groundcovers  beneath  large  trees.  The  leaves  are  edible  and  evergreen  in  winter,NA,1-3  ft.,"Pink ,  Blue ,  Purple",NA,NA,NA,NA,NA,NA,NA
